OTU_576	SRR10803250.70622;size=2
OTU_577	SRR10803250.72806;size=2
OTU_578	SRR10803250.74121;size=2
OTU_579	SRR10803250.74130;size=2
OTU_580	SRR10803250.75869;size=2
OTU_581	SRR10803250.76023;size=2
OTU_582	SRR10803250.76845;size=2
OTU_583	SRR10803250.78011;size=2
OTU_584	SRR10803250.78155;size=2
OTU_585	SRR10803250.79966;size=2
OTU_586	SRR10803250.80414;size=2
OTU_587	SRR10803250.80474;size=2
OTU_588	SRR10803250.83049;size=2
OTU_589	SRR10803250.83219;size=2
OTU_590	SRR10803250.83241;size=2
OTU_591	SRR10803250.83305;size=2
OTU_592	SRR10803250.86069;size=2
OTU_593	SRR10803250.86599;size=2
OTU_594	SRR10803250.89255;size=2
OTU_595	SRR10803250.9089;size=2
OTU_596	SRR10803250.9107;size=2
OTU_597	SRR10803250.9183;size=2
OTU_598	SRR10803250.92552;size=2
OTU_599	SRR10803250.93921;size=2
OTU_600	SRR10803250.95661;size=2
OTU_601	SRR10803250.98895;size=2
OTU_602	SRR10803271.111649;size=2
OTU_603	SRR10803271.44410;size=2
OTU_604	SRR10803271.48655;size=2
OTU_605	SRR10803271.52380;size=2
OTU_606	SRR10803271.58758;size=2
OTU_607	SRR10803271.62497;size=2
OTU_608	SRR10803271.64045;size=2
OTU_609	SRR10803271.64052;size=2
OTU_610	SRR10803271.8578;size=2
OTU_611	SRR10803271.87754;size=2
OTU_612	SRR10803282.10750;size=2
OTU_613	SRR10803282.10800;size=2
OTU_614	SRR10803282.11163;size=2
OTU_615	SRR10803282.13434;size=2
OTU_616	SRR10803282.19915;size=2
OTU_617	SRR10803282.21223;size=2
OTU_618	SRR10803282.21316;size=2
OTU_619	SRR10803282.24232;size=2
OTU_620	SRR10803282.36755;size=2
OTU_621	SRR10803282.38553;size=2
OTU_622	SRR10803282.399;size=2
OTU_623	SRR10803282.6829;size=2
OTU_624	SRR10803282.9276;size=2
OTU_625	SRR10803282.9488;size=2
